measurement,same_genre,different_genres
similarity,0.14,0.24
similarity,0.04,0.1
similarity,0.07,0.16
similarity,0.2,0.04
similarity,0.13,0.05
similarity,0.14,0.19
similarity,0.13,0.08
similarity,0.17,0.06
similarity,0.12,0.15
similarity,0.14,0.2
similarity,0.02,0.05
similarity,0.02,0.05
similarity,0.07,0.18
similarity,0.11,0.06
similarity,0,0.21
similarity,0.34,0.16
similarity,0.04,0.05
similarity,0.03,0.04
similarity,0.01,0.09
similarity,0.06,0.09
similarity,0.24,0.22
similarity,0.27,0.04
similarity,0.16,0.19
similarity,0.01,0.13
similarity,0.1,0.15
similarity,0.04,0.08
similarity,0.01,0.19
similarity,0.13,0.2
similarity,0.13,0.06
similarity,0.04,0.05
similarity,0.08,0.25
similarity,0.04,0.28
similarity,0.08,0.32
similarity,0.05,0.09
similarity,-0.01,0
similarity,0,0.06
similarity,0.29,0.05
similarity,0.12,0.16
similarity,0.06,0.07
similarity,-0.05,0.05
similarity,0.01,0.03
similarity,0,0.07
similarity,0.05,0.01
similarity,0.04,0.04
similarity,-0.01,0.05
similarity,0.06,0.09
similarity,0.02,0.04
similarity,0.05,0.04
similarity,0.08,0.05
similarity,0.06,0.1
similarity,0.04,0.09
similarity,0,-0.02
similarity,-0.01,0.01
similarity,0.37,0.05
similarity,0.26,0
similarity,0.09,0.04
similarity,0.02,0.37
similarity,0.06,0.02
similarity,0,0.05
similarity,0.05,0.04
similarity,-0.1,0.07
similarity,0,0.04
similarity,-0.01,0.04
similarity,0.16,0.02
similarity,0,0.1
similarity,0.11,0.04
similarity,0.05,0.03
similarity,0.06,-0.01
similarity,0.01,0.14
similarity,0.04,-0.02
similarity,0.01,0.07
similarity,0.13,-0.03
similarity,0.1,0.02
similarity,0.17,0.47
similarity,0.02,0.02
similarity,0.12,0.06
similarity,0.04,0.04
similarity,0.03,0.09
similarity,-0.02,-0.01
similarity,-0.06,0.06
similarity,0,-0.04
similarity,0.07,0.08
similarity,0.04,0.06
similarity,0.06,0
similarity,0.15,0.01
similarity,0.14,-0.02
similarity,0.05,0.01
similarity,0.06,0.06
similarity,0.1,0.02
similarity,0,0.34
similarity,0.09,0.08
similarity,-0.01,0.23
similarity,0.02,-0.03
similarity,-0.03,0.27
similarity,-0.02,-0.02
similarity,0.02,0.11
similarity,-0.01,-0.02
similarity,-0.06,0.01
similarity,0.12,0.01
similarity,0.06,0.07
similarity,0.09,0.07
similarity,-0.01,0.12
similarity,0.02,-0.11
similarity,-0.01,0.02
similarity,-0.03,0.05
similarity,-0.01,0.04
similarity,0.01,0.01
similarity,0.08,0.05
similarity,-0.01,0.04
similarity,0,0.23
similarity,0.19,0.02
similarity,0,0.02
similarity,0.27,0.02
similarity,0.02,0
similarity,0.18,0.02
similarity,-0.01,-0.03
similarity,-0.01,0.01
similarity,-0.03,0.13
similarity,0.01,0
similarity,0,0.08
similarity,0.14,0.14
similarity,0,-0.02
similarity,0.12,0.14
similarity,0.01,0.14
