,Unnamed: 0,romance,non_romance
1839,resent,0.008349320515792909,0.0
864,fetch,0.006679456412634327,0.0
1330,lug,0.006679456412634327,0.0
2018,shower,0.006679456412634327,0.0
397,communicate,0.0050095923094757465,0.0
535,dawn,0.0050095923094757465,0.0
1530,participate,0.0050095923094757465,0.0
2110,snuggle,0.0050095923094757465,0.0
2315,taper,0.0050095923094757465,0.0
58,ally,0.003339728206317164,0.0
65,analyze,0.003339728206317164,0.0
399,compete,0.003339728206317164,0.0
420,condemn,0.003339728206317164,0.0
489,creak,0.003339728206317164,0.0
631,disfigure,0.003339728206317164,0.0
686,dot,0.003339728206317164,0.0
755,enamel,0.003339728206317164,0.0
853,feature,0.003339728206317164,0.0
875,finance,0.003339728206317164,0.0
1004,glue,0.003339728206317164,0.0
1152,imprison,0.003339728206317164,0.0
1265,lap,0.003339728206317164,0.0
1347,manufacture,0.003339728206317164,0.0
1521,parade,0.003339728206317164,0.0
1569,photograph,0.003339728206317164,0.0
1608,pole,0.003339728206317164,0.0
1625,praise,0.003339728206317164,0.0
1630,precede,0.003339728206317164,0.0
1637,prescribe,0.003339728206317164,0.0
1668,prophesy,0.003339728206317164,0.0
1842,resign,0.003339728206317164,0.0
1928,scald,0.003339728206317164,0.0
1934,scent,0.003339728206317164,0.0
1958,scurry,0.003339728206317164,0.0
1985,shackle,0.003339728206317164,0.0
2027,shuffle,0.003339728206317164,0.0
2113,sob,0.003339728206317164,0.0
2116,solo,0.003339728206317164,0.0
2259,suit,0.003339728206317164,0.0
2273,surrender,0.003339728206317164,0.0
2372,tinkle,0.003339728206317164,0.0
2515,wager,0.003339728206317164,0.0
2605,yodel,0.003339728206317164,0.0
34,adopt,0.0016698641031585818,0.0
40,advocate,0.0016698641031585818,0.0
78,appease,0.0016698641031585818,0.0
101,assail,0.0016698641031585818,0.0
105,assimilate,0.0016698641031585818,0.0
108,assuage,0.0016698641031585818,0.0
126,award,0.0016698641031585818,0.0
