,romance,non_romance
cake,0.0,0.0016302122469675265
calculate,0.0011881220626005532,0.0005799547201715611
call,0.06297046931782932,0.0626351097785286
callous,0.0011881220626005532,0.0005799547201715611
calm,0.0011881220626005532,0.0023198188806862444
camouflage,0.0,0.0016302122469675265
campaign,0.0,0.0008151061234837633
cancel,0.0,0.003260424493935053
cannot,0.00712873237560332,0.004059683041200928
cap,0.0,0.0008151061234837633
capture,0.0011881220626005532,0.0005799547201715611
care,0.02257431918941051,0.01623873216480371
careen,0.0,0.0016302122469675265
caress,0.00356436618780166,0.0011599094403431222
carouse,0.0,0.0008151061234837633
carp,0.0,0.0008151061234837633
carry,0.027326807439812726,0.02609796240772025
carve,0.0011881220626005532,0.0017398641605146832
case,0.0,0.0016302122469675265
cast,0.0011881220626005532,0.0017398641605146832
catapult,0.0,0.0008151061234837633
catch,0.021386197126809958,0.035957192650636786
catchee,0.0016698641031585818,0.0
cause,0.0023762441252011064,0.006379501921887172
caution,0.0,0.0008151061234837633
cavort,0.0,0.0024453183704512896
cease,0.0011881220626005532,0.0017398641605146832
celebrate,0.0,0.0016302122469675265
cement,0.0,0.0008151061234837633
center,0.0,0.0024453183704512896
centralize,0.0,0.0008151061234837633
challenge,0.0016698641031585818,0.0
chance,0.0,0.0016302122469675265
change,0.023762441252011064,0.011599094403431221
chant,0.0023762441252011064,0.0005799547201715611
char,0.0,0.0008151061234837633
charge,0.0,0.008151061234837633
charm,0.0,0.0008151061234837633
chase,0.0,0.0008151061234837633
chat,0.0011881220626005532,0.0011599094403431222
chatter,0.0011881220626005532,0.0017398641605146832
cheat,0.0,0.0016302122469675265
check,0.004752488250402213,0.014498868004289027
cherish,0.0,0.004890636740902579
chew,0.0,0.0057057428643863435
chicken,0.0,0.0008151061234837633
chide,0.0011881220626005532,0.0011599094403431222
chill,0.0023762441252011064,0.0011599094403431222
chip,0.0,0.0016302122469675265
chirp,0.0,0.0008151061234837633
chisel,0.0,0.0008151061234837633
chivy,0.0,0.0008151061234837633
choke,0.0023762441252011064,0.0034797283210293664
choose,0.01425746475120664,0.008119366082401856
chop,0.0,0.0024453183704512896
chortle,0.0,0.0024453183704512896
chorus,0.0,0.0008151061234837633
chrome,0.0016698641031585818,0.0
chuckle,0.0011881220626005532,0.0028997736008578054
chuff,0.0,0.0008151061234837633
churn,0.0,0.0016302122469675265
cipher,0.0,0.0008151061234837633
circle,0.0,0.00733595511135387
circulate,0.0,0.0008151061234837633
cite,0.0,0.0008151061234837633
claim,0.0011881220626005532,0.0034797283210293664
clamber,0.0,0.0016302122469675265
clamp,0.0023762441252011064,0.0023198188806862444
clang,0.0,0.0008151061234837633
clank,0.0,0.0008151061234837633
clap,0.0,0.006520848987870106
clasp,0.00356436618780166,0.0011599094403431222
classify,0.0,0.0008151061234837633
clatter,0.0023762441252011064,0.0011599094403431222
claw,0.0011881220626005532,0.0005799547201715611
clean,0.00712873237560332,0.00521959248154405
cleanse,0.0011881220626005532,0.0011599094403431222
clear,0.00356436618780166,0.007539411362230294
clench,0.0011881220626005532,0.0011599094403431222
click,0.0023762441252011064,0.0023198188806862444
climb,0.011881220626005532,0.018558551045489955
cling,0.00356436618780166,0.005799547201715611
clink,0.0,0.0008151061234837633
clip,0.0,0.0016302122469675265
clobber,0.0,0.0008151061234837633
clog,0.0,0.0008151061234837633
close,0.00712873237560332,0.02609796240772025
closet,0.0016698641031585818,0.0
clothe,0.0,0.004890636740902579
cloud,0.0011881220626005532,0.0011599094403431222
cloy,0.0,0.0008151061234837633
club,0.0,0.0008151061234837633
cluck,0.0016698641031585818,0.0
cluster,0.0,0.0008151061234837633
clutch,0.005940610313002766,0.004059683041200928
clutter,0.0,0.0008151061234837633
coast,0.0,0.0016302122469675265
coax,0.0016698641031585818,0.0
cock,0.0,0.0024453183704512896
codify,0.0,0.0008151061234837633
coil,0.0,0.0016302122469675265
coincide,0.0,0.0016302122469675265
collapse,0.0011881220626005532,0.004059683041200928
collar,0.0,0.0016302122469675265
collect,0.0011881220626005532,0.0034797283210293664
color,0.0011881220626005532,0.0023198188806862444
comb,0.0011881220626005532,0.0011599094403431222
come,0.2031688727046946,0.20182424261970325
comfort,0.0011881220626005532,0.0028997736008578054
command,0.0023762441252011064,0.0023198188806862444
commence,0.0,0.0016302122469675265
commend,0.0011881220626005532,0.0005799547201715611
comment,0.0,0.0024453183704512896
commingle,0.0,0.0008151061234837633
commiserate,0.0,0.0008151061234837633
commission,0.0,0.0008151061234837633
commit,0.00356436618780166,0.004639637761372489
communicate,0.005009592309475746,0.0
compare,0.0,0.003260424493935053
compete,0.0033397282063171636,0.0
complain,0.00356436618780166,0.0034797283210293664
complement,0.0,0.0008151061234837633
complete,0.0,0.004890636740902579
complicate,0.0011881220626005532,0.0005799547201715611
comply,0.0023762441252011064,0.0011599094403431222
comport,0.0,0.0008151061234837633
compose,0.0,0.0016302122469675265
compound,0.0,0.0024453183704512896
comprehend,0.0,0.0016302122469675265
compress,0.0,0.0016302122469675265
comprise,0.0,0.0008151061234837633
compromise,0.0,0.0008151061234837633
compute,0.0,0.0008151061234837633
con,0.0,0.0008151061234837633
conceal,0.0,0.0057057428643863435
concede,0.0,0.0024453183704512896
conceive,0.0011881220626005532,0.0017398641605146832
concentrate,0.0011881220626005532,0.0005799547201715611
concern,0.0011881220626005532,0.005799547201715611
conclude,0.0011881220626005532,0.0011599094403431222
condemn,0.0033397282063171636,0.0
confer,0.0,0.0008151061234837633
confess,0.0023762441252011064,0.0017398641605146832
confide,0.0,0.0016302122469675265
confirm,0.0023762441252011064,0.0034797283210293664
conform,0.0016698641031585818,0.0
confront,0.0023762441252011064,0.004639637761372489
confuse,0.0023762441252011064,0.004059683041200928
congeal,0.0,0.0016302122469675265
congest,0.0016698641031585818,0.0
congregate,0.0,0.0008151061234837633
connect,0.0011881220626005532,0.0028997736008578054
conquer,0.0016698641031585818,0.0
consider,0.010693098563404979,0.013918913284117465
consist,0.0011881220626005532,0.0028997736008578054
consort,0.0016698641031585818,0.0
constitute,0.0,0.0008151061234837633
constrain,0.0,0.0008151061234837633
constrict,0.0,0.0008151061234837633
construct,0.0023762441252011064,0.0005799547201715611
consult,0.0011881220626005532,0.0023198188806862444
consume,0.0023762441252011064,0.0005799547201715611
contact,0.0,0.0016302122469675265
contain,0.0011881220626005532,0.00521959248154405
contemplate,0.0016698641031585818,0.0
content,0.0023762441252011064,0.0005799547201715611
continue,0.009504976500804426,0.012759003843774343
contort,0.0033397282063171636,0.0
contract,0.0011881220626005532,0.0011599094403431222
contribute,0.004752488250402213,0.0011599094403431222
control,0.0023762441252011064,0.0028997736008578054
converse,0.0,0.0008151061234837633
convert,0.0,0.0008151061234837633
convey,0.0,0.0016302122469675265
convince,0.00356436618780166,0.004059683041200928
convulse,0.0,0.0008151061234837633
cook,0.0,0.009781273481805158
cool,0.00356436618780166,0.0005799547201715611
cooped,0.0,0.0008151061234837633
cope,0.0,0.0008151061234837633
copy,0.0,0.0016302122469675265
cord,0.0,0.0008151061234837633
correct,0.0,0.0008151061234837633
correlate,0.0,0.0008151061234837633
corrode,0.0,0.0008151061234837633
corrupt,0.0,0.0008151061234837633
cost,0.0023762441252011064,0.0034797283210293664
couch,0.0,0.0008151061234837633
coudn,0.0,0.0008151061234837633
cough,0.0011881220626005532,0.0017398641605146832
could,0.23168380220710788,0.22096274838536475
coulda,0.0,0.0008151061234837633
count,0.0011881220626005532,0.0104391849630881
counterpoint,0.0,0.0008151061234837633
course,0.0016698641031585818,0.0
court,0.0,0.0008151061234837633
cover,0.005940610313002766,0.01623873216480371
covet,0.0016698641031585818,0.0
cower,0.0,0.0008151061234837633
crack,0.005940610313002766,0.007539411362230294
crackle,0.0,0.0008151061234837633
cradle,0.0,0.0016302122469675265
cram,0.0016698641031585818,0.0
crane,0.0,0.0008151061234837633
crash,0.0023762441252011064,0.0028997736008578054
cratered,0.0,0.0008151061234837633
crave,0.0,0.0008151061234837633
crawl,0.0023762441252011064,0.01101913968325966
craze,0.0016698641031585818,0.0
creak,0.0033397282063171636,0.0
cream,0.0,0.0008151061234837633
crease,0.0,0.0008151061234837633
create,0.0023762441252011064,0.0034797283210293664
credit,0.0,0.0016302122469675265
creep,0.004752488250402213,0.004639637761372489
cremate,0.0011881220626005532,0.0005799547201715611
crimson,0.0,0.0008151061234837633
cringe,0.0,0.003260424493935053
cripple,0.0,0.0024453183704512896
crisscross,0.0,0.0008151061234837633
crock,0.0016698641031585818,0.0
croon,0.0,0.0016302122469675265
crop,0.0011881220626005532,0.0011599094403431222
cross,0.00712873237560332,0.012759003843774343
crossroading,0.0016698641031585818,0.0
crouch,0.0011881220626005532,0.0034797283210293664
crow,0.0,0.0008151061234837633
crowd,0.004752488250402213,0.006959456642058733
cruise,0.0016698641031585818,0.0
crumble,0.00356436618780166,0.0005799547201715611
crumple,0.0,0.0024453183704512896
crush,0.0011881220626005532,0.0005799547201715611
cry,0.01900995300160885,0.007539411362230294
cultivate,0.0016698641031585818,0.0
cup,0.0011881220626005532,0.0011599094403431222
curb,0.0,0.0008151061234837633
cure,0.0023762441252011064,0.0011599094403431222
curl,0.005940610313002766,0.004639637761372489
curse,0.0023762441252011064,0.004639637761372489
curve,0.0016698641031585818,0.0
cut,0.00712873237560332,0.019138505765661517
dab,0.0,0.0024453183704512896
damage,0.0,0.0016302122469675265
damn,0.005940610313002766,0.0104391849630881
dampen,0.0016698641031585818,0.0
dance,0.01425746475120664,0.004059683041200928
danged,0.0,0.0008151061234837633
dangle,0.0,0.0016302122469675265
dare,0.00712873237560332,0.004059683041200928
darken,0.0023762441252011064,0.0028997736008578054
darn,0.0023762441252011064,0.0011599094403431222
dart,0.0011881220626005532,0.0028997736008578054
dash,0.0,0.0024453183704512896
date,0.0,0.0008151061234837633
daub,0.0,0.0008151061234837633
dawn,0.005009592309475746,0.0
daydream,0.0016698641031585818,0.0
daze,0.0011881220626005532,0.0011599094403431222
dazzle,0.0011881220626005532,0.0011599094403431222
deafen,0.0,0.0008151061234837633
deal,0.0,0.0040755306174188165
debate,0.0,0.0016302122469675265
decay,0.0,0.0024453183704512896
decide,0.015445586813807193,0.02145832464634776
deck,0.0016698641031585818,0.0
declare,0.0,0.0040755306174188165
decline,0.0,0.0016302122469675265
decompose,0.0,0.0008151061234837633
decorate,0.0016698641031585818,0.0
decorticate,0.0,0.0008151061234837633
decrease,0.0,0.0008151061234837633
dedicate,0.0023762441252011064,0.0011599094403431222
deduce,0.0,0.0008151061234837633
deed,0.0,0.0008151061234837633
deepen,0.0,0.0008151061234837633
defeat,0.0011881220626005532,0.0005799547201715611
defend,0.005940610313002766,0.0028997736008578054
define,0.0011881220626005532,0.0011599094403431222
defy,0.0,0.0008151061234837633
deign,0.0,0.0008151061234837633
delay,0.0011881220626005532,0.0017398641605146832
delight,0.0023762441252011064,0.0017398641605146832
delimit,0.0,0.0008151061234837633
deliver,0.004752488250402213,0.0023198188806862444
demand,0.0,0.013041697975740212
demonstrate,0.0,0.0024453183704512896
demur,0.0,0.0008151061234837633
deny,0.00356436618780166,0.0034797283210293664
depart,0.0,0.0024453183704512896
depend,0.004752488250402213,0.0023198188806862444
depict,0.0016698641031585818,0.0
deploy,0.0,0.0008151061234837633
deposit,0.0016698641031585818,0.0
deprave,0.0,0.0008151061234837633
depress,0.0,0.003260424493935053
deprive,0.0011881220626005532,0.0011599094403431222
derange,0.0,0.0008151061234837633
derive,0.0,0.0016302122469675265
descend,0.0011881220626005532,0.0023198188806862444
describe,0.0023762441252011064,0.006379501921887172
desecrate,0.0,0.0008151061234837633
desert,0.0011881220626005532,0.005799547201715611
deserve,0.0023762441252011064,0.0028997736008578054
design,0.0,0.0016302122469675265
desire,0.0023762441252011064,0.0011599094403431222
despair,0.0,0.0016302122469675265
despise,0.0,0.0008151061234837633
despoil,0.0,0.0008151061234837633
destine,0.0,0.0016302122469675265
destroy,0.0,0.004890636740902579
detach,0.0011881220626005532,0.0005799547201715611
detail,0.0,0.0040755306174188165
detain,0.0016698641031585818,0.0
detect,0.0,0.0016302122469675265
determine,0.00356436618780166,0.008119366082401856
detour,0.0,0.0008151061234837633
devastate,0.0,0.0008151061234837633
develop,0.00712873237560332,0.004059683041200928
deviate,0.0,0.0016302122469675265
devote,0.00356436618780166,0.0011599094403431222
dial,0.0,0.0024453183704512896
dice,0.0016698641031585818,0.0
dictate,0.0,0.0008151061234837633
die,0.02257431918941051,0.023198188806862443
differ,0.0,0.0008151061234837633
dig,0.00356436618780166,0.007539411362230294
digest,0.0011881220626005532,0.0005799547201715611
dignify,0.0011881220626005532,0.0011599094403431222
dilapidate,0.0011881220626005532,0.0005799547201715611
diminish,0.0,0.0024453183704512896
din,0.0023762441252011064,0.0028997736008578054
dip,0.0016698641031585818,0.0
direct,0.0,0.006520848987870106
disabuse,0.0,0.0008151061234837633
disappear,0.00356436618780166,0.007539411362230294
disappoint,0.0023762441252011064,0.0017398641605146832
disapprove,0.0,0.0008151061234837633
disbelieve,0.0011881220626005532,0.0005799547201715611
discard,0.0011881220626005532,0.0005799547201715611
discharge,0.0,0.0008151061234837633
discipline,0.0016698641031585818,0.0
disclose,0.0,0.0016302122469675265
discolor,0.0016698641031585818,0.0
disconnect,0.0,0.0016302122469675265
discorporate,0.0,0.0008151061234837633
discorporated,0.0,0.0008151061234837633
discount,0.0,0.0008151061234837633
discourage,0.0,0.0008151061234837633
discover,0.008316854438203873,0.011599094403431221
discuss,0.00356436618780166,0.004059683041200928
disdain,0.0016698641031585818,0.0
disfigure,0.0033397282063171636,0.0
disgrace,0.0,0.0008151061234837633
disguise,0.0011881220626005532,0.0005799547201715611
disgust,0.0,0.0016302122469675265
dish,0.0,0.0008151061234837633
dishevel,0.0033397282063171636,0.0
disintegrate,0.0,0.0008151061234837633
dislike,0.004752488250402213,0.0017398641605146832
dislocate,0.0,0.0008151061234837633
dislodge,0.0,0.0008151061234837633
dismay,0.0,0.0008151061234837633
dismember,0.0,0.0008151061234837633
dismiss,0.0011881220626005532,0.0028997736008578054
dismount,0.0,0.0024453183704512896
disobey,0.0016698641031585818,0.0
disorder,0.0016698641031585818,0.0
disorganize,0.0,0.0008151061234837633
dispatch,0.0,0.0008151061234837633
dispel,0.0,0.0016302122469675265
dispell,0.0,0.0008151061234837633
dispense,0.0011881220626005532,0.0005799547201715611
disperse,0.0,0.0016302122469675265
display,0.0,0.0008151061234837633
dispose,0.0,0.0024453183704512896
dispossess,0.0016698641031585818,0.0
dispute,0.0,0.0008151061234837633
disregard,0.0023762441252011064,0.0005799547201715611
dissatisfy,0.0016698641031585818,0.0
dissect,0.0,0.0008151061234837633
dissipate,0.0,0.0008151061234837633
dissolve,0.0,0.0016302122469675265
distinguish,0.0,0.0024453183704512896
distort,0.0,0.0008151061234837633
distract,0.0,0.0024453183704512896
distress,0.0016698641031585818,0.0
distribute,0.0,0.0008151061234837633
distrust,0.0016698641031585818,0.0
disturb,0.00356436618780166,0.004059683041200928
dive,0.0023762441252011064,0.004059683041200928
divert,0.0,0.0024453183704512896
divide,0.00356436618780166,0.0023198188806862444
divine,0.0,0.0008151061234837633
divorce,0.0,0.0024453183704512896
doan,0.0,0.0008151061234837633
doctor,0.0,0.0008151061234837633
document,0.0,0.0008151061234837633
dodge,0.0011881220626005532,0.0023198188806862444
dog,0.0,0.0008151061234837633
doled,0.0,0.0008151061234837633
dominate,0.0,0.0008151061234837633
domineer,0.0,0.0008151061234837633
donate,0.0016698641031585818,0.0
doom,0.0,0.0008151061234837633
dope,0.0,0.0008151061234837633
dose,0.0,0.0016302122469675265
dot,0.0033397282063171636,0.0
double,0.0,0.003260424493935053
doubt,0.0011881220626005532,0.008119366082401856
douse,0.0,0.0008151061234837633
doweling,0.0,0.0008151061234837633
downgrade,0.0,0.0008151061234837633
doze,0.004752488250402213,0.0017398641605146832
drag,0.010693098563404979,0.009859230242916538
dragoon,0.0016698641031585818,0.0
drahve,0.0,0.0008151061234837633
drain,0.00356436618780166,0.0011599094403431222
drape,0.0,0.0016302122469675265
draw,0.020198075064209405,0.023198188806862443
drawl,0.0,0.0024453183704512896
dream,0.015445586813807193,0.00521959248154405
dress,0.01900995300160885,0.006959456642058733
dribble,0.0,0.0008151061234837633
drift,0.0011881220626005532,0.004059683041200928
driftin,0.0,0.0008151061234837633
drill,0.0,0.0008151061234837633
drink,0.021386197126809958,0.014498868004289027
drip,0.0011881220626005532,0.0023198188806862444
drive,0.02851492950241328,0.02725787184806337
drizzle,0.0,0.0016302122469675265
droop,0.0,0.0016302122469675265
drop,0.02851492950241328,0.0313175548892643
drown,0.0011881220626005532,0.0034797283210293664
drowse,0.0016698641031585818,0.0
drug,0.0,0.0008151061234837633
